year,lon,lat,dep,mag
2000,102.78,29.53,10.0,2.3
2000,103.87,31.32,8.0,1.2
2000,101.63,32.98,8.0,2.4
2000,101.75,31.82,4.0,1.9
2000,103.88,31.65,14.0,1.7
2000,100.12,26.32,10.0,1.9
2000,103.57,31.08,2.0,2.1
2000,104.07,31.43,15.0,1.2
2000,100.8,27.07,25.0,1.8
2000,103.55,33.35,2.0,2.4
2000,101.7,24.98,10.0,2.9
2000,104.07,31.52,7.0,1.6
2000,103.12,29.23,12.0,1.7
2000,102.37,31.55,15.0,2.0
2000,101.08,26.83,10.0,1.8
2000,101.08,26.82,10.0,1.8
2000,101.08,26.8,15.0,1.7
2000,101.25,22.43,10.0,3.1
2000,101.25,22.45,10.0,3.0
2000,99.2,24.7,10.0,3.2
2000,103.58,32.0,8.0,2.3
2000,102.02,30.13,11.0,1.7
2000,101.17,23.87,5.0,3.3
2000,100.23,27.02,15.0,2.1
2000,103.58,32.0,8.0,1.9
2000,99.67,29.95,10.0,2.3
2000,105.08,30.62,13.0,2.3
2000,103.63,31.07,11.0,1.5
2000,102.77,27.7,1.0,1.9
2000,102.75,27.7,5.0,2.0
2000,102.37,29.05,5.0,1.1
2000,104.27,31.88,13.0,2.4
2000,104.37,31.77,10.0,1.7
2000,105.05,32.12,19.0,2.4
2000,104.07,31.52,9.0,2.0
2000,100.57,26.3,15.0,2.1
2000,103.02,25.37,5.0,2.5
2000,103.88,31.27,1.0,1.7
2000,103.63,31.07,10.0,2.3
2000,98.9,24.27,5.0,2.9
2000,103.53,31.08,8.0,1.5
2000,102.08,29.9,2.0,1.8
2000,100.97,27.88,5.0,2.4
2000,102.52,23.58,10.0,2.2
2000,103.37,31.03,9.0,1.7
2000,103.93,31.43,12.0,1.7
2000,104.18,31.48,11.0,1.6
2000,102.63,24.4,25.0,1.9
2000,103.53,31.93,9.0,1.8
2000,104.07,31.52,3.0,1.4
2000,105.17,32.03,5.0,2.5
2000,102.03,29.52,8.0,2.1
2000,99.3,24.97,15.0,2.7
2000,102.72,26.97,6.0,2.2
2000,102.77,27.08,7.0,2.0
2000,102.95,27.47,9.0,2.7
2000,103.53,30.85,9.0,2.7
2000,103.53,30.83,13.0,2.5
2000,103.53,30.83,4.0,1.9
2000,99.17,25.03,15.0,2.8
2000,102.23,29.17,5.0,2.5
2000,102.27,25.93,10.0,2.4
2000,102.23,29.15,5.0,2.5
2000,104.13,32.68,14.0,2.8
2000,102.68,28.73,5.0,2.7
2000,103.87,26.95,8.0,3.0
2000,100.77,26.57,15.0,2.0
2000,103.47,31.07,5.0,1.7
2000,103.9,31.27,10.0,1.7
2000,104.12,31.68,4.0,2.0
2000,101.92,31.48,10.0,1.8
2000,102.37,29.17,10.0,2.2
